date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2021-07-05,06:00:00,40.68651,-73.76815,0,0,Other Vehicular
2021-09-10,19:15:00,40.624203,-74.177124,0,0,Passing or Lane Usage Improper
2021-07-06,09:37:00,40.744526,-73.77161,2,0,Driver Inattention/Distraction
2021-07-01,15:30:00,40.576965,-74.16974,0,0,Driver Inattention/Distraction
2021-07-07,18:04:00,40.8502,-73.8302,1,0,Following Too Closely
2021-09-08,17:40:00,40.715477,-73.998085,0,0,Driver Inattention/Distraction
2021-09-11,07:33:00,40.611477,-73.94883,1,0,Unspecified
2021-07-08,11:50:00,40.681515,-73.90412,1,0,Passing or Lane Usage Improper
2021-09-11,08:00:00,40.61578,-73.99995,0,0,Driver Inattention/Distraction
2021-09-08,08:43:00,40.82207,-73.94993,1,0,Driver Inattention/Distraction
2021-09-11,23:00:00,40.74606,-73.85583,0,0,Unspecified
2021-09-09,12:00:00,40.72013,-73.79038,1,0,Unspecified
2021-07-07,17:13:00,40.688435,-73.78765,1,0,Driver Inattention/Distraction
2021-09-11,18:03:00,40.84964,-73.89661,2,0,Failure to Yield Right-of-Way
2021-09-09,17:00:00,40.68329,-73.85491,0,0,Driver Inexperience
2021-09-08,18:13:00,40.812912,-73.95364,0,0,Driver Inexperience
2021-09-11,20:50:00,40.6639,-73.7804,0,0,Passing or Lane Usage Improper
2021-07-05,00:16:00,40.59312,-73.772705,0,0,Driver Inexperience
2021-06-29,16:26:00,40.596687,-73.74422,0,0,Following Too Closely
2021-07-08,08:50:00,40.673107,-73.99959,0,0,Unsafe Lane Changing
2021-07-09,10:38:00,40.63874,-73.8952,1,0,Tinted Windows
2021-09-11,17:45:00,40.675255,-73.73207,0,0,Driver Inattention/Distraction
2021-09-11,01:30:00,40.846313,-73.92385,0,0,Passing Too Closely
2021-09-11,02:00:00,40.608364,-73.95727,1,0,Driver Inattention/Distraction
2021-07-08,23:25:00,40.682724,-73.88539,0,0,Driver Inattention/Distraction
2021-09-11,01:20:00,40.80789,-73.852844,0,0,Aggressive Driving/Road Rage
